id,MW,HBA,HBD,RotB,LogP,TPSA,GBSA,docking score
1275,472.5,7,0,7,3.96,84.0,-61.9185219235987,-6.72251291679641
1276,412.4,7,2,8,2.97,104.9,-60.0226653696609,-6.72224863506045
1277,427.8,7,0,7,4.1,91.6,-58.8046694098648,-6.72099692794141
1278,395.5,7,1,8,2.34,70.5,-58.1775336658575,-6.72010513722474
1279,424.2,6,2,3,3.48,78.5,-63.4309310318586,-6.71776434473716
1280,416.9,9,2,6,1.13,108.2,-64.066482305846,-6.71726978375768
1281,445.3,6,1,5,3.77,67.9,-58.6974317047752,-6.71629663935495
1282,357.3,2,0,3,6.08,36.7,-58.7770766730127,-6.71536954284322
1283,436.5,8,1,6,2.37,94.2,-66.4246065211582,-6.71417751856835
1284,450.6,7,2,8,3.63,102.3,-56.8985040963753,-6.7139339283284
1285,373.5,5,0,7,3.86,55.2,-57.786741064896,-6.71231751913309
1286,445.5,9,1,9,3.01,108.1,-58.3396390795378,-6.71183451589133
1287,408.5,5,0,6,4.78,79.5,-57.2638277100978,-6.71165553540021
1288,396.5,7,1,13,2.97,86.1,-57.794588578633,-6.71132887299208
1289,452.7,6,3,7,4.59,89.4,-63.9735002958696,-6.71029152076312
1290,391.5,7,1,8,2.92,81.9,-62.8406914950901,-6.70639283626618
1291,442.5,8,3,7,4.1,104.7,-61.0778293569756,-6.70607071033645
1292,406.4,4,0,5,5.87,56.5,-56.2492549963281,-6.70600778505112
1293,372.9,6,1,4,2.63,69.3,-56.3916270069694,-6.70556828040351
1294,421.9,7,1,8,5.17,81.9,-68.7445661899192,-6.70421467272535
1295,410.5,6,1,6,4.07,75.2,-57.2857292186927,-6.70135711697212
1296,449.6,9,2,11,1.69,113.5,-59.4841867192436,-6.7001756419472
1297,478.6,8,1,12,4.33,94.8,-61.155004776826,-6.69733946369248
1298,472.5,7,0,7,3.96,84.0,-62.722759826941,-6.6952681423716
1299,471.6,8,2,9,2.75,104.8,-58.7215769464192,-6.69492485453252
1300,343.4,7,3,7,2.5,103.5,-56.5584153145401,-6.69420368494254
1301,372.4,7,1,5,2.48,84.4,-58.6992528256142,-6.69358264649429
