id,MW,HBA,HBD,RotB,LogP,TPSA,GBSA,docking score
1543,470.9,5,1,6,5.75,58.6,-56.9398607807207,-6.48998203947022
1544,433.5,6,2,9,2.86,88.2,-58.7678363412506,-6.48884283508573
1545,479.6,6,1,7,5.99,81.2,-57.7196460331825,-6.48862920997469
1546,426.4,8,1,6,4.6,94.9,-59.6105626011604,-6.48862275412599
1547,488.5,8,1,7,3.62,87.9,-72.9106661948781,-6.48827108641182
1548,498.5,9,1,6,4.13,94.4,-69.8747411803879,-6.48816734872037
1549,436.0,6,1,10,4.82,73.3,-56.770711670827,-6.48716760918355
1550,383.5,5,2,5,4.63,71.1,-57.6846641060974,-6.48635095225797
1551,402.5,7,2,6,3.49,105.4,-60.5241480234845,-6.48619661383543
1552,478.8,9,1,6,3.48,103.9,-60.9338755692943,-6.48471737594558
1553,412.8,8,1,5,2.72,94.7,-60.6245368067684,-6.48363385007374
1554,499.6,7,1,10,4.51,80.1,-64.723716123337,-6.48099380622418
1555,491.6,10,2,7,2.67,117.9,-56.9874969152324,-6.48038623099542
1556,476.5,9,1,8,3.65,111.9,-61.6012400637828,-6.48032819444426
1557,361.4,7,1,7,3.18,74.0,-59.9192617259732,-6.47876377973559
1558,443.9,7,1,7,4.15,94.3,-62.5515638765301,-6.47802663767012
1559,474.6,7,0,7,4.19,84.0,-62.0542587866476,-6.47801456626124
1560,492.4,6,1,7,4.14,83.1,-59.7973973788294,-6.4773987637321
1561,416.5,5,2,10,3.3,67.4,-56.373408970363,-6.4761513949659
1562,426.9,6,1,6,4.58,75.2,-57.9093074287102,-6.47601534195104
1563,479.6,9,2,8,2.06,113.5,-61.7795381488186,-6.47475855238854
1564,453.5,7,2,9,4.22,104.4,-61.6717237939774,-6.47413195841658
1565,444.5,9,1,12,2.68,111.9,-61.3900155121437,-6.47328785242987
1566,443.5,6,1,8,5.29,67.4,-67.0406795565896,-6.47305587199927
1567,391.5,4,0,3,4.33,37.6,-60.924415289277,-6.47187664737822
1568,406.7,6,0,3,3.99,65.6,-57.5437691780753,-6.47164178922193
1569,399.9,7,2,8,3.21,96.7,-59.904805724932,-6.47037285044651
1570,418.5,7,3,7,3.73,97.6,-61.0355935162797,-6.47019448186446
1571,425.5,8,2,10,3.27,98.1,-61.801638444007,-6.47017892846378
1572,437.6,6,2,12,4.7,78.4,-62.7828235882635,-6.46982611155877
1573,465.9,6,2,9,5.48,76.2,-66.1512104157537,-6.46948473128946
1574,400.5,6,1,9,3.86,75.2,-61.9763788991486,-6.46902271216007
1575,424.5,7,2,7,3.44,88.1,-70.106253660264,-6.46818394581221
1576,349.9,3,0,5,4.79,39.2,-57.5931873117288,-6.46699147339486
1577,417.5,7,0,5,3.11,70.8,-58.6048747833875,-6.46640317001159
1578,373.5,5,2,8,4.44,69.2,-59.6246936752032,-6.46499956873355
1579,428.5,8,1,11,3.45,102.7,-56.2570956816862,-6.46408758636775
1580,379.5,6,2,8,3.16,78.5,-58.9705559063796,-6.46326359525527
1581,396.4,5,2,5,2.86,75.3,-56.8973953541799,-6.46285319867229
1582,381.4,5,1,3,3.8,73.2,-57.9631677635261,-6.46209037308694
1583,461.5,9,0,10,2.5,119.7,-58.3233534599713,-6.46193964959417
1584,386.2,6,0,4,3.64,65.6,-60.2812263818278,-6.46190349944517
1585,380.5,5,1,6,4.05,59.8,-57.7473949497589,-6.46184203780103
1586,404.5,6,1,8,3.82,59.4,-63.3334013497533,-6.45983550233513
1587,419.5,6,2,11,3.45,80.3,-59.0907488305265,-6.4596533587813
1588,305.4,3,1,3,4.39,50.2,-61.2314089054998,-6.45943808952537
1589,337.8,6,0,3,2.68,65.6,-57.200064126303,-6.4583210504945
1590,318.4,6,2,8,2.81,79.9,-57.756514631842,-6.45801963474938
1591,473.5,10,3,7,2.51,137.9,-59.5861177277466,-6.4578438254686
1592,443.5,8,2,10,3.03,98.1,-60.0851384316529,-6.4576903733459
1593,398.5,7,1,7,1.73,82.6,-57.9107125110631,-6.45634383849719
1594,331.3,4,2,3,4.73,54.0,-56.8423443958727,-6.45564293733776
1595,381.4,4,0,4,3.77,46.6,-56.9007865867734,-6.45557081492218
1596,344.4,4,0,5,4.5,43.6,-56.3525726291273,-6.45540634577963
1597,404.2,6,0,4,3.53,65.6,-58.2300847707547,-6.45423811358654
1598,414.5,5,0,4,5.34,70.4,-63.8701542218341,-6.45231024717587
1599,470.0,7,3,13,4.71,98.7,-60.9735253536965,-6.45171219337802
1600,437.6,6,2,12,4.7,78.4,-68.8443385016199,-6.4510564126868
1601,443.3,7,2,6,4.62,111.1,-59.552052097014,-6.44874275955992
1602,468.4,6,1,10,5.5,74.8,-64.2135991631849,-6.44862352314478
1603,429.9,5,0,5,5.19,58.7,-57.811747529664,-6.44809218022319
1604,389.5,6,2,5,1.39,66.7,-59.388459808506,-6.44790705438383
1605,335.5,5,2,6,2.58,74.8,-56.557988814031,-6.44757415308928
1606,371.4,7,1,10,2.02,99.5,-56.8253483475646,-6.44705970939739
1607,397.4,5,1,7,3.57,56.2,-57.5727120681941,-6.44663892612847
1608,387.4,7,1,6,2.99,85.8,-60.0043943511209,-6.44641577861034
1609,420.5,8,3,7,2.54,107.6,-57.3075357133357,-6.44556698077216
1610,420.4,9,2,5,2.13,120.8,-58.0576462065319,-6.44546043082804
1611,461.9,5,2,7,5.94,69.2,-63.5228810931139,-6.44473783763219
1612,464.4,6,2,5,5.83,76.0,-56.3625557691867,-6.4444863469993
1613,425.9,6,3,10,4.23,89.4,-65.5468717834119,-6.44275613956605
1614,418.5,7,3,7,3.73,97.6,-61.1260714432929,-6.44263604863451
1615,351.8,6,0,4,2.99,65.6,-57.5705460220533,-6.44221466615619
1616,469.6,9,2,9,2.17,113.5,-59.0386249986559,-6.44211807160708
1617,427.5,6,0,10,4.22,56.6,-61.3491450842039,-6.44190803984085
1618,394.3,6,0,4,4.17,66.7,-60.7688972297046,-6.44122576492329
1619,335.3,6,0,4,2.47,65.6,-57.5268795414631,-6.44096806015041
1620,429.5,8,2,9,3.35,116.9,-59.2738214731889,-6.44072779969152
1621,415.5,8,2,10,1.89,96.3,-66.1124426678061,-6.44007507818262
1622,403.5,8,1,5,1.81,88.2,-59.1212966429375,-6.43816598947743
1623,489.0,9,1,10,3.99,106.8,-68.6254920238516,-6.43789663538397
1624,354.4,7,1,7,1.62,74.8,-59.0771401878283,-6.43784747100055
1625,451.0,6,0,6,3.81,80.5,-69.5019298544175,-6.43698981609744
1626,415.4,6,1,5,3.78,73.3,-59.9749733362551,-6.43616095233094
1627,417.5,7,2,10,3.77,101.3,-63.315591630274,-6.43378246589275
1628,358.5,3,1,5,5.45,42.0,-56.5627513559093,-6.43343748384207
1629,469.5,8,2,12,3.85,106.0,-63.7357936285598,-6.43290039888711
1630,407.5,6,1,6,4.27,71.5,-58.4043341233482,-6.43272506190426
1631,438.5,7,1,9,3.36,92.0,-57.5687678023605,-6.43247695439441
1632,413.5,6,2,8,1.39,67.4,-58.2989617459798,-6.43213395313163
1633,343.5,5,3,9,2.4,79.4,-57.4301868899129,-6.43055006714479
1634,351.4,5,0,10,3.35,55.8,-61.1163568824886,-6.43013080174621
1635,487.6,8,2,13,4.3,106.6,-65.2357766848845,-6.42838864611509
1636,396.4,5,1,6,3.89,68.3,-56.4739856612523,-6.42719623706305
1637,390.4,6,0,6,4.11,74.4,-57.9312790144786,-6.42616872961423
1638,337.4,7,1,8,2.15,81.9,-57.8535420647422,-6.42597530931083
1639,320.3,7,0,4,2.26,83.7,-56.4384111149348,-6.42262766807621
1640,376.5,6,1,9,2.5,81.4,-61.0642675368044,-6.42229987096438
1641,449.4,7,2,5,4.32,89.6,-57.0117141407727,-6.42076314278491
1642,377.4,7,3,9,2.29,102.9,-57.7611361345271,-6.42070645014206
1643,462.5,9,3,7,2.46,112.8,-62.1079702079405,-6.41962610897037
1644,396.5,9,2,7,0.79,108.2,-60.6250890792207,-6.41954370696484
1645,412.8,8,1,5,2.47,94.7,-59.1585599843311,-6.41950672079601
1646,339.4,5,1,7,3.23,64.0,-58.9168547922427,-6.41928626767175
1647,459.5,8,0,7,4.0,92.8,-56.3243865860486,-6.41840641434844
1648,363.4,6,0,7,3.88,68.5,-57.9135855789018,-6.41731061488381
1649,328.8,3,3,7,3.4,50.0,-56.3462354858839,-6.41540239052398
1650,348.4,4,1,3,3.51,49.4,-56.7235482720898,-6.41448936369086
1651,421.5,6,1,8,4.64,72.7,-58.2681404413734,-6.41437815185765
1652,396.2,6,0,4,3.1,65.6,-56.8492975608415,-6.41347889112338
1653,487.7,7,3,12,5.28,102.9,-62.78137671887,-6.41175712458412
1654,372.5,5,2,10,4.36,70.7,-57.5127874857008,-6.41172584777928
1655,374.5,5,1,9,4.06,60.4,-63.528035144298,-6.41052994364688
1656,436.5,7,1,10,3.99,76.5,-57.2933178115954,-6.41050458967264
1657,379.5,7,1,7,2.91,76.2,-56.5511972938548,-6.40958576050366
1658,368.4,6,2,8,2.08,81.9,-56.4612454262115,-6.40748797748367
1659,489.0,9,1,10,3.99,106.8,-70.0935481671704,-6.40637796558952
1660,490.0,7,2,5,3.8,95.6,-57.938914196352,-6.40612928164105
1661,464.3,5,1,6,4.74,62.3,-56.7693589164173,-6.40593189917367
1662,414.5,5,1,9,5.18,52.0,-59.455120011331,-6.40580166301181
1663,388.5,5,0,9,3.71,63.4,-63.4898630373,-6.40418068376296
1664,402.5,7,2,8,3.88,111.1,-59.2312115907089,-6.40379759018276
1665,356.5,5,2,11,3.97,77.8,-56.2383444958959,-6.40290298412401
1666,402.5,4,1,6,4.27,49.4,-61.0314900555913,-6.40107225247168
1667,421.5,6,0,4,4.62,63.9,-63.2796861964289,-6.39847253999526
1668,285.8,4,1,7,1.55,41.9,-56.3880761909104,-6.39814655113418
1669,445.5,8,3,7,3.32,100.8,-58.7579079912284,-6.39689098801984
1670,419.5,6,1,6,3.74,71.5,-62.9126330283234,-6.39632391636302
1671,429.9,6,1,9,4.32,73.2,-57.6824667192768,-6.39529639174309
1672,468.5,9,2,8,3.07,109.2,-58.5749342361341,-6.3941108779416
1673,390.4,9,1,7,1.93,103.9,-58.7304468775637,-6.39377040983989
1674,399.4,6,0,5,3.66,65.6,-59.7804483489408,-6.39325784021426
1675,373.8,6,0,5,3.83,66.7,-59.3158537484596,-6.39277195487196
1676,365.9,3,0,3,4.58,37.4,-57.6474657545759,-6.39161428249866
1677,454.5,6,1,9,4.47,81.2,-58.5562779652046,-6.39153626072351
1678,350.4,6,3,4,1.87,87.8,-56.4003356455196,-6.39094010915742
1679,402.8,9,1,6,1.23,103.9,-56.9212099050292,-6.39064848688166
1680,354.8,4,0,3,3.28,40.6,-57.9115361929335,-6.38823647482417
1681,439.9,6,3,7,4.58,89.4,-56.6716122174239,-6.38784343839397
1682,470.0,6,1,10,4.58,73.3,-66.1696510172105,-6.38678089779294
1683,473.5,9,1,4,3.43,98.6,-56.7571704049033,-6.38671151517235
1684,436.5,6,1,11,4.19,73.6,-58.0057832010334,-6.38604957916502
1685,452.5,7,0,10,3.92,78.0,-63.9036898934773,-6.38521261549605
1686,419.4,9,3,5,1.3,124.3,-61.0488151560057,-6.38431164818955
1687,442.0,6,1,8,3.12,69.7,-62.5932813107838,-6.38422336625638
1688,392.5,6,1,7,3.46,81.4,-58.3401022690859,-6.38380108087801
1689,349.4,6,0,5,2.53,65.6,-58.4355964539509,-6.38367997222847
1690,396.5,8,2,11,2.02,114.0,-60.5232733200191,-6.38296256136542
1691,498.4,4,2,6,6.01,58.2,-56.4538759612178,-6.38216494550266
1692,370.4,5,1,7,4.06,59.8,-58.2330395235567,-6.3812741692328
1693,363.4,6,2,6,2.95,78.5,-59.0799824305641,-6.37979109767597
1694,377.4,7,0,5,3.6,77.7,-57.1290218348495,-6.37957391920338
1695,471.6,9,1,11,3.87,107.7,-56.8190263628367,-6.3794472079158
1696,370.5,3,0,6,4.81,42.8,-60.1910398894433,-6.3790783366553
1697,363.4,6,0,6,2.84,65.6,-60.513628665909,-6.37678761076983
1698,474.6,9,1,3,1.56,112.3,-64.2918623333881,-6.37659159569982
1699,473.0,8,2,10,4.58,118.0,-60.567931849776,-6.37620396560907
1700,342.4,5,1,6,2.43,58.6,-56.3272953459991,-6.37549799205431
1701,339.4,5,1,7,3.11,56.2,-58.8528438103422,-6.3748720427487
1702,447.9,8,0,8,3.39,85.1,-56.553093435311,-6.37453728361052
1703,414.5,5,0,4,5.34,70.4,-63.034153367309,-6.37308010178216
1704,339.4,5,1,8,3.35,64.0,-57.3714182484582,-6.37144287479437
1705,437.9,8,1,6,3.76,93.8,-57.1160384768027,-6.37125876656465
1706,420.4,7,2,6,2.0,91.4,-57.8664425486613,-6.37104545007623
1707,365.8,5,0,3,4.35,69.4,-59.4335048628573,-6.37084837740499
1708,437.9,8,1,5,2.46,88.2,-61.2983880915608,-6.37048361912529
1709,373.5,4,1,7,4.53,46.9,-59.4068494706362,-6.37048273555432
1710,407.5,5,1,8,4.49,64.0,-59.3931309396212,-6.36869829888998
1711,402.2,7,0,5,3.34,74.8,-58.0867397785396,-6.36803908300357
1712,360.4,5,0,7,3.52,61.2,-56.9230372022366,-6.36732752401831
1713,335.3,6,0,4,2.47,65.6,-57.0659509795832,-6.36717356789087
1714,413.5,3,0,5,5.86,33.8,-59.9941568316035,-6.3664104701521
1715,352.4,5,1,5,3.52,64.4,-59.2350985907697,-6.36621384231864
1716,482.5,6,1,10,6.02,73.0,-64.5014424598112,-6.36572853243867
1717,438.0,8,1,9,2.65,87.7,-60.8108835536359,-6.36545098197363
1718,421.5,6,1,7,3.58,88.1,-58.0192752772764,-6.36460232337767
1719,408.4,7,0,9,3.67,73.4,-58.1678688307084,-6.36445878509034
1720,382.8,5,0,5,6.06,80.1,-67.3714785183465,-6.36424485523355
1721,471.0,6,2,8,3.84,68.3,-59.8032147476461,-6.36413620585802
1722,433.5,7,1,6,4.26,72.9,-59.3497092668877,-6.36405095842117
1723,438.5,7,0,8,4.87,80.8,-61.3772793329063,-6.36205149422193
1724,469.5,10,3,8,2.68,137.9,-58.0134067174968,-6.36026706040244
1725,391.5,6,3,10,3.5,89.4,-58.9493713964957,-6.35982088183812
1726,414.5,7,1,11,2.17,108.7,-58.5417335343054,-6.35892670986311
1727,358.4,3,1,6,4.89,42.0,-57.9792073058525,-6.35859640408515
1728,459.6,8,2,8,3.15,104.8,-57.584668931775,-6.35857581922473
1729,420.7,6,0,4,4.29,65.6,-61.0467174906307,-6.35776313411134
1730,415.4,6,2,5,4.55,80.3,-57.0486323093392,-6.35743004945092
1731,442.5,8,1,12,3.69,102.7,-57.9620535697959,-6.35733248311843
1732,396.4,8,1,5,1.95,94.7,-59.0694258093245,-6.35643898319826
1733,396.4,8,1,5,1.95,94.7,-58.9638847758051,-6.3540940770707
1734,351.8,6,0,4,2.99,65.6,-57.9186539191387,-6.35188070711581
1735,369.8,6,0,4,2.88,65.6,-57.2487414947691,-6.35032214951464
1736,391.5,5,1,6,4.43,62.3,-64.5695027611464,-6.35020283503065
1737,484.6,9,3,7,2.2,129.9,-57.9191930644438,-6.34977652482324
1738,397.5,5,0,12,4.12,67.2,-60.7826833880799,-6.34873465613749
1739,404.4,9,1,8,2.32,103.9,-56.7592013731637,-6.34848002438102
1740,411.5,7,2,12,3.4,92.9,-61.3461148121169,-6.34830236182814
1741,369.8,6,0,4,2.88,65.6,-57.450762829586,-6.34763509558136
1742,419.4,5,1,6,4.41,52.6,-56.9303122337806,-6.34753012861453
1743,418.6,6,2,12,3.36,82.4,-59.4682653347363,-6.34726932237607
1744,399.8,10,1,6,1.87,120.7,-58.5430583899561,-6.34654195636323
1745,456.6,8,1,13,4.23,102.7,-58.3418141790926,-6.3453043250562
1746,368.4,3,0,7,4.54,33.2,-57.542156610557,-6.34413753835089
1747,495.0,7,2,4,4.84,91.4,-57.0740974563469,-6.34318010340172
1748,421.5,6,2,9,3.6,88.8,-59.2757296759173,-6.34285749213556
1749,492.5,10,1,8,3.61,121.1,-63.9528135467935,-6.34285686461971
1750,364.4,5,1,2,4.29,50.8,-56.3644678098917,-6.34205319918457
1751,400.3,6,0,5,3.7,65.6,-60.7033000970359,-6.34126132937124
1752,354.4,6,2,6,4.18,92.5,-57.5637808944348,-6.34109410338915
1753,460.6,7,2,9,3.84,93.1,-64.7276373757486,-6.34031182739471
1754,473.0,8,1,9,4.29,97.6,-69.0429222708763,-6.34002912910244
1755,382.9,7,2,9,2.4,85.2,-56.4066170813521,-6.33938537681185
1756,403.4,8,1,8,2.85,91.0,-58.7568404190142,-6.33797637629359
1757,396.9,6,1,5,3.49,71.2,-65.9052965842184,-6.33784172559817
1758,484.5,8,2,10,3.9,101.8,-59.0526549461811,-6.33778834080875
1759,343.8,5,1,5,3.03,62.3,-57.7273037176155,-6.3377374344693
1760,415.5,8,2,13,2.65,102.2,-63.0876360938673,-6.33546666304206
1761,438.5,7,1,9,3.36,92.0,-56.2846530154411,-6.33536131224636
1762,457.5,7,1,9,6.05,82.5,-58.0818393969303,-6.33489876652742
1763,414.3,5,2,7,3.65,71.1,-60.7914960925882,-6.33467584815734
1764,352.4,3,1,4,4.3,42.0,-58.7185942470078,-6.33456708119709
1765,484.5,6,1,7,5.0,75.7,-56.7976672635059,-6.33386388950778
1766,328.4,5,1,8,3.47,63.6,-56.5775616457249,-6.33312752770828
1767,497.5,10,2,7,2.52,127.2,-59.5645745325119,-6.3322914008908
1768,436.3,5,0,3,4.69,66.2,-58.3928971593441,-6.33222720890575
1769,444.9,7,0,7,3.31,68.3,-62.4243880999029,-6.33126162033924
1770,362.8,7,1,3,3.49,81.1,-57.5521450575516,-6.33083739161148
1771,424.6,6,0,6,4.53,73.3,-57.0416040355221,-6.33007486714136
1772,422.5,9,0,6,3.58,88.0,-62.0400866136652,-6.3293028004212
1773,408.4,6,2,7,4.04,76.1,-58.2557434158816,-6.32890496107142
1774,447.9,8,1,5,1.97,105.1,-57.72753243842,-6.32716548585536
1775,401.5,7,1,9,2.78,78.4,-59.9024172417139,-6.32699154754341
1776,498.6,8,2,11,4.38,101.8,-57.1879747617322,-6.32671181320501
1777,410.4,8,1,6,2.51,94.7,-57.9333241241811,-6.32642964035492
1778,376.5,6,1,9,2.5,81.4,-60.4913205840967,-6.32567051117961
1779,461.0,7,1,8,4.68,84.4,-60.7039627261329,-6.32562259002195
1780,373.4,5,2,4,3.02,79.5,-59.9682194400448,-6.32448943316211
1781,489.6,9,2,10,3.76,123.0,-56.8231131702814,-6.32422500551148
1782,408.5,6,1,7,3.54,70.1,-56.4427369491395,-6.32387195637559
1783,398.5,7,2,10,4.19,81.4,-58.5026336828769,-6.32350473189961
1784,415.3,5,2,4,5.63,63.2,-59.5412522531742,-6.32205102546794
1785,441.4,8,1,8,3.61,107.5,-57.4599958017161,-6.32186774602637
1786,411.9,6,3,9,3.84,89.4,-61.9467117021895,-6.32104700128215
1787,429.4,5,0,4,3.74,55.8,-59.2092567296004,-6.31931261789315
1788,433.5,9,1,10,2.85,100.3,-58.9524723544882,-6.31905611767572
1789,379.9,6,0,6,3.35,65.6,-60.5555050522362,-6.31885165013124
1790,355.8,6,0,8,2.21,65.1,-58.840868688867,-6.31797943920943
1791,393.9,5,0,7,4.55,50.8,-61.9953281023709,-6.31772167569509
1792,460.6,8,0,11,4.46,79.4,-66.4397498520393,-6.31750096303217
1793,391.5,7,3,10,2.68,102.9,-60.5031533482988,-6.31701602865126
1794,495.9,10,2,6,0.89,123.3,-62.6945316368165,-6.31642290466275
1795,434.5,7,3,7,3.9,100.2,-59.9936872231083,-6.31639398599323
1796,363.5,4,0,9,4.47,56.3,-56.5402838325508,-6.31551464827978
1797,392.4,8,1,6,2.12,94.7,-59.3050946550511,-6.31504897599606
1798,437.5,6,2,12,4.9,78.4,-62.0341120950579,-6.31412543921678
1799,494.6,8,1,10,4.36,102.7,-66.8696232687553,-6.31387331980746
1800,370.5,6,0,5,4.37,61.4,-57.811358123633,-6.31341577375636
1801,347.5,5,2,9,0.52,45.7,-57.5631264651984,-6.31340790253674
1802,412.8,8,1,5,2.47,94.7,-56.5086335730584,-6.31335486437476
1803,416.4,7,0,4,2.64,67.2,-60.8769318714258,-6.31273287159391
1804,365.4,4,1,6,4.33,46.9,-56.7175741537912,-6.31226370940105
1805,430.5,7,0,4,3.1,84.0,-59.3871229153783,-6.31226099091592
1806,413.4,9,1,7,3.05,103.7,-59.9554464574076,-6.31119749113757
1807,421.5,6,1,6,3.6,72.7,-59.458011863655,-6.31082329697443
1808,387.4,7,1,7,3.15,81.8,-58.6143822452259,-6.31064872116514
1809,368.2,5,0,4,3.52,63.2,-57.0506469114143,-6.31035402184286
1810,456.5,6,2,8,3.65,84.5,-58.4246889343794,-6.30965457552424
1811,401.4,5,0,5,4.89,59.2,-57.1362809881948,-6.3094327468306
1812,397.5,7,2,10,3.0,92.9,-64.8256467669853,-6.30912005769241
1813,406.5,7,3,9,2.3,96.2,-56.5214059650925,-6.30814264553304
1814,417.4,10,3,7,1.33,137.8,-60.3605614045864,-6.30738456992474
1815,443.4,5,0,6,5.92,57.0,-61.4844555362624,-6.3067907192677
1816,333.4,3,0,4,3.87,44.0,-56.7476232821946,-6.30632745019793
1817,433.5,7,1,6,4.26,72.9,-60.6477308396024,-6.30621532649054
1818,421.9,7,2,10,3.68,93.4,-59.4964536998805,-6.30589479504272
1819,472.4,6,0,12,4.93,56.6,-60.3425155332698,-6.30527660064676
1820,369.8,6,0,4,3.13,65.6,-57.7234396024023,-6.30406282386233
1821,377.5,5,3,8,4.6,78.3,-57.4831137320689,-6.30372155459388
1822,371.8,5,3,8,1.76,90.1,-57.7016988122868,-6.30097806030651
1823,442.5,9,2,8,2.07,109.2,-57.5475274824939,-6.30080501490734
1824,481.6,7,0,7,4.33,81.0,-64.7309137291222,-6.299871479797
